Keyword,SERP features,Volume,KD,CPC,Previous organic traffic,Current organic traffic,Organic traffic change,Current paid traffic,Previous position,Current position,Position change,Previous URL inside,Previous URL,Current URL inside,Current URL,Previous date,Current date
kevin scholla,"Tweet box, Image pack, Thumbnail",40,0,,2,2,0,0,9,8,1,,https://www.breitbart.com/author/kevin-scholla/,,https://www.breitbart.com/author/kevin-scholla/,1/10/2024 11:27,4/16/2024 4:43
madonna last supper pictures,"Thumbnail, People also ask",20,2,,2,2,0,0,3,3,,,https://www.breitbart.com/entertainment/2023/01/23/madonna-mocks-christs-last-supper-in-vanity-fair-photo-shoot/,,https://www.breitbart.com/entertainment/2023/01/23/madonna-mocks-christs-last-supper-in-vanity-fair-photo-shoot/,12/31/2023 16:52,3/22/2024 8:38
is it safe to eat indoors covid 2023,Featured snippet,40,6,,,2,,0,,7,New,,,,https://www.breitbart.com/politics/2023/11/16/bloomberg-addresses-safe-dine-indoors-because-covid-back/,,4/18/2024 1:55
chaz wearing philadelphia,Image pack,100,2,,,2,,0,,3,New,,,Image pack,https://www.breitbart.com/crime/2024/01/05/police-homeless-man-knocked-philadelphia-train-passenger-to-his-death/,,4/15/2024 13:49
breitbart big hollywood,Image pack,10,10,,3,2,-1,0,1,1,,,https://www.breitbart.com/entertainment/,,https://www.breitbart.com/tag/big-hollywood/,1/1/2024 23:07,4/22/2024 0:05
did garth brooks call his fans assholes,People also ask,40,5,,,2,,0,,9,New,,,,https://www.breitbart.com/entertainment/2023/06/09/garth-brooks-calls-bud-light-boycotters-aholes-following-transgender-dylan-mulvaney-controversy/,,4/13/2024 0:51
best 9mm pistol under 500,"Thumbnail, People also ask, Discussions",30,0,,,2,,0,,9,New,,,,https://www.breitbart.com/2nd-amendment/2023/03/10/self-defense-budget-five-9mm-pistols-under-500/,,4/21/2024 3:05
keith olbermann david wells,"People also ask, Image pack",70,3,,,2,,0,,10,New,,,,https://www.breitbart.com/sports/2023/09/10/keith-shut-the-fck-up-yankees-legend-david-wells-blasts-keith-olbermann-over-bud-light-comment/,,4/13/2024 1:28
breitbart news app download,People also ask,50,7,,,2,,0,,8,New,,,,https://www.breitbart.com/,,4/21/2024 12:48
mary katharine ham bill o reilly,People also ask,20,1,0,2,2,0,0,4,4,,,https://www.breitbart.com/clips/2017/04/21/mary-katharine-ham-on-bill-oreilly-our-relationship-was-frustrating-he-was-often-paternalistic/,,https://www.breitbart.com/clips/2017/04/21/mary-katharine-ham-on-bill-oreilly-our-relationship-was-frustrating-he-was-often-paternalistic/,1/9/2024 6:55,3/8/2024 8:26
warner todd huston,"Tweet box, Image pack, Thumbnail",20,0,,1,2,1,0,4,2,2,,https://www.breitbart.com/author/warner-todd-huston/,,https://www.breitbart.com/author/warner-todd-huston/,1/19/2024 5:22,4/20/2024 19:35
breitbart news jobs,,0,12,,2,2,0,0,1,1,,,https://www.breitbart.com/jobs/,,https://www.breitbart.com/jobs/,1/12/2024 13:57,4/1/2024 8:28
breitbart steve bannon trump,,30,40,0,2,2,0,0,5,6,-1,,https://www.breitbart.com/tag/steve-bannon/,,https://www.breitbart.com/tag/steve-bannon/,1/19/2024 14:31,3/16/2024 8:08
watch joe biden cuts off reporter during question on hunter biden,,20,6,,,2,,0,,3,New,,,,https://www.breitbart.com/2020-election/2020/10/25/watch-joe-biden-cuts-off-reporter-during-question-hunter-biden/,,4/14/2024 2:24
kim o'brien billiards,Image pack,30,0,,,2,,0,,5,New,,,,https://www.breitbart.com/sports/2024/03/01/irish-pool-champion-kim-obrien-bows-out-of-tournament-featuring-transgender-opponent/,,4/8/2024 21:55
hong kong in tijuana shut down,People also ask,20,0,,,2,,0,,4,New,,,,https://www.breitbart.com/border/2023/05/15/tijuana-cops-shut-down-upscale-strip-club-over-homicide-of-us-army-soldier/,,4/4/2024 4:20
budweiser tent sturgis 2023,"Featured snippet, Thumbnail, Image pack",60,0,,,2,,0,,9,New,,,,https://www.breitbart.com/politics/2023/08/10/video-appears-budweiser-tent-empty-sturgis-motorcycle-event/,,4/16/2024 0:31
scott kirby trans,Discussions,40,8,,,2,,0,,7,New,,,,https://www.breitbart.com/politics/2024/01/16/united-airlines-ceo-scott-kirby-history-dressing-drag-kesha-taylor-swift/,,4/13/2024 22:47
toro cdg,Thumbnail,50,0,,,2,,0,,10,New,,,,https://www.breitbart.com/border/2015/11/15/monster-gulf-cartel-boss-comandante-toro-babys-blood-hands/,,4/16/2024 9:00
what is the breitbart news,"Knowledge panel, Tweet box",30,49,0,8,2,-6,0,1,9,-8,,https://www.breitbart.com/,,https://www.breitbart.com/,1/16/2024 1:06,3/14/2024 9:43
kellogg's ceo net worth,People also ask,80,3,,,2,,0,,10,New,,,,https://www.breitbart.com/politics/2024/03/01/kelloggs-ceo-suggests-cash-strapped-families-suffering-under-inflation-eat-cereal-for-dinner/,,3/29/2024 2:33
dilberts alma mater,"Featured snippet, People also ask, Image pack",40,6,0,0,2,1,0,14,8,6,,https://www.breitbart.com/social-justice/2017/02/06/dilbert-creator-scott-adams-stop-donating-alma-mater-uc-berkeley/,,https://www.breitbart.com/social-justice/2017/02/06/dilbert-creator-scott-adams-stop-donating-alma-mater-uc-berkeley/,1/5/2024 18:49,3/4/2024 1:38
hk twitter woke,Tweet box,80,0,,3,2,-1,0,8,10,-2,,https://www.breitbart.com/2nd-amendment/2023/05/17/gunmaker-heckler-koch-deletes-woke-tweets-after-backlash/,,https://www.breitbart.com/2nd-amendment/2023/05/17/gunmaker-heckler-koch-deletes-woke-tweets-after-backlash/,1/5/2024 3:10,4/6/2024 15:50
mr rogers boys are boys from the beginning,,40,0,,2,2,0,0,9,9,,,https://www.breitbart.com/entertainment/2023/02/02/old-mr-rogers-video-goes-viral-amid-transgender-insanity-boys-are-boys-from-the-beginning/,,https://www.breitbart.com/entertainment/2023/02/02/old-mr-rogers-video-goes-viral-amid-transgender-insanity-boys-are-boys-from-the-beginning/,1/17/2024 8:56,4/10/2024 2:24
horacio minero-hernandez,,40,0,,2,2,-1,0,6,8,-2,,https://www.breitbart.com/politics/2022/11/29/illegal-alien-accused-placing-hidden-camera-teen-girls-bathroom-shower/,,https://www.breitbart.com/politics/2022/11/29/illegal-alien-accused-placing-hidden-camera-teen-girls-bathroom-shower/,1/11/2024 11:21,4/6/2024 0:07
ezra fry tennessee,,70,13,,,2,,0,,10,New,,,,https://www.breitbart.com/crime/2023/10/19/queer-teacher-couple-busted-prostitution-sting-investigation/,,3/30/2024 4:38
breitbart xm radio,"People also ask, Image pack",20,6,0,9,2,-7,0,3,8,-5,,https://www.breitbart.com/tag/sirius-xm-patriot/,,https://www.breitbart.com/tag/sirius-xm-patriot/,1/22/2024 2:35,3/18/2024 17:41
miranda strap on,,30,1,,,2,,0,,7,New,,,,https://www.breitbart.com/entertainment/2023/06/22/sex-and-the-city-character-miranda-gets-naked-with-non-binary-lover-wears-leather-strap-on/,,3/29/2024 10:55
john finch antioch,"Thumbnail, Image pack",30,0,,,2,,0,,6,New,,,,https://www.breitbart.com/crime/2024/01/18/illinois-man-released-after-being-charged-sexually-abusing-wheelchair-bound-child/,,4/4/2024 9:47
fuck utah caleb williams,,30,0,,1,2,1,0,9,6,3,,https://www.breitbart.com/sports/2023/01/03/video-espn-host-knocks-usc-quarterback-who-painted-fck-utah-on-fingernails/,,https://www.breitbart.com/sports/2023/01/03/video-espn-host-knocks-usc-quarterback-who-painted-fck-utah-on-fingernails/,1/3/2024 17:20,3/23/2024 6:08
adam laboucan,Image pack,20,0,,0,2,1,0,11,3,8,,https://www.breitbart.com/politics/2023/08/31/canada-man-raped-infant-transferred-womens-prison-claiming-transgender/,,https://www.breitbart.com/politics/2023/08/31/canada-man-raped-infant-transferred-womens-prison-claiming-transgender/,1/6/2024 20:07,4/16/2024 8:36
austin phillips cyclist,Image pack,60,2,,,2,,0,,9,New,,,,https://www.breitbart.com/sports/2023/03/23/female-cycling-champion-quits-sport-after-slew-of-transgender-women-win-races/,,4/16/2024 4:25
free my nigga trump,,10,1,,,2,,0,,2,New,,,,https://www.breitbart.com/entertainment/2023/06/17/gangsta-rap-producer-suge-knight-shows-support-for-donald-trump-free-my-na-trump/,,4/6/2024 0:10
neil munro,"Tweet box, Thumbnail, Knowledge panel",40,11,,2,2,-1,0,6,8,-2,,https://www.breitbart.com/author/neil-munro/,,https://www.breitbart.com/author/neil-munro/,1/15/2024 13:26,4/19/2024 9:25
cocomelon and autism,"Thumbnail, People also ask, Discussions",40,2,,0,2,1,0,13,7,6,,https://www.breitbart.com/entertainment/2023/12/21/cocomelon-came-under-fire-from-concerned-parents-long-before-crossdressing-controversy-accusations-of-developmental-delays-addictive-behavior-autism/,,https://www.breitbart.com/entertainment/2023/12/21/cocomelon-came-under-fire-from-concerned-parents-long-before-crossdressing-controversy-accusations-of-developmental-delays-addictive-behavior-autism/,1/12/2024 20:21,4/18/2024 1:18
danny miguel saul,Image pack,20,0,0,2,2,0,0,2,4,-2,Image pack,https://www.breitbart.com/border/2015/02/19/texas-family-doesnt-understand-why-police-shot-man-pointing-gun-at-them/,Image pack,https://www.breitbart.com/border/2015/02/19/texas-family-doesnt-understand-why-police-shot-man-pointing-gun-at-them/,1/19/2024 9:06,3/15/2024 20:29
madonna last supper,Thumbnail,40,5,,5,2,-3,0,3,9,-6,,https://www.breitbart.com/entertainment/2023/01/23/madonna-mocks-christs-last-supper-in-vanity-fair-photo-shoot/,,https://www.breitbart.com/entertainment/2023/01/23/madonna-mocks-christs-last-supper-in-vanity-fair-photo-shoot/,1/14/2024 6:21,4/9/2024 2:56
disney lost 123 billion in 2022,"Featured snippet, People also ask, Image pack",20,4,,,2,,0,,4,New,,,,https://www.breitbart.com/entertainment/2022/12/31/woke-fail-disney-lost-123-billion-in-market-value-in-2022-as-shares-drop-44-percent-worst-year-since-1974/,,3/28/2024 13:08
amy furr,"Thumbnail, Image pack",20,0,,,2,,0,,6,New,,,,https://www.breitbart.com/author/amy-furr/,,3/28/2024 16:19
h&k tweet,"Tweet box, Image pack",30,0,,1,2,0,0,10,8,2,,https://www.breitbart.com/2nd-amendment/2023/05/17/gunmaker-heckler-koch-deletes-woke-tweets-after-backlash/,,https://www.breitbart.com/2nd-amendment/2023/05/17/gunmaker-heckler-koch-deletes-woke-tweets-after-backlash/,1/16/2024 14:27,4/18/2024 16:00
oliver anthony psalm 37,"Featured snippet, Video preview, People also ask, Image pack",30,0,,,2,,0,,6,New,,,,https://www.breitbart.com/entertainment/2023/08/13/watch-oliver-anthony-quotes-psalms-in-first-public-appearance-since-viral-hit-song/,,3/27/2024 16:55
china 911 cartoon,Image pack,40,1,,,2,,0,,7,New,,,,https://www.breitbart.com/politics/2023/09/12/chinese-media-mock-usa-on-anniversary-of-9-11-attacks/,,4/13/2024 1:21
what was obama's lsat score?,People also ask,40,1,,1,2,1,0,11,7,4,,https://www.breitbart.com/politics/2012/09/20/found-obama-s-lsat-score/,,https://www.breitbart.com/politics/2012/09/20/found-obama-s-lsat-score/,1/21/2024 16:06,4/10/2024 18:02
el tilin cdg muerto,,30,0,,,2,,0,,6,New,,,,https://www.breitbart.com/border/2022/03/31/graphic-fotos-exclusivas-militares-matan-a-mando-del-cdg-en-frontera-chica/,,4/4/2024 8:25
heckler and koch woke tweet,"People also ask, Image pack",30,0,,2,2,-1,0,5,6,-1,,https://www.breitbart.com/2nd-amendment/2023/05/17/gunmaker-heckler-koch-deletes-woke-tweets-after-backlash/,,https://www.breitbart.com/2nd-amendment/2023/05/17/gunmaker-heckler-koch-deletes-woke-tweets-after-backlash/,1/3/2024 14:38,4/16/2024 0:35
news br,,40,98,,,2,,0,,9,New,,,,https://www.breitbart.com/,,3/31/2024 5:15
is universal studios woke like disney,"People also ask, Thumbnail, Image pack",30,1,,,2,,0,,7,New,,,,https://www.breitbart.com/entertainment/2022/12/15/universal-studios-theme-parks-films-flourish-as-woke-scandals-destroy-disney-brand/,,4/16/2024 12:06
taylor swift ai photos chiefs naked,,30,19,,,2,,0,,6,New,,,,https://www.breitbart.com/entertainment/2024/01/25/fans-outraged-over-ai-generated-sexually-graphic-taylor-swift-images/,,4/12/2024 9:18
iliza shlesinger israel,,40,0,,,2,,0,,9,New,,,,https://www.breitbart.com/entertainment/2023/11/28/comedian-iliza-shlesinger-blasts-neo-liberal-wet-dream-of-supporting-hamas/,,4/19/2024 21:41
rio bravo tamaulipas news,Image pack,40,0,,,2,,0,,8,New,,,,https://www.breitbart.com/tag/rio-bravo/,,4/6/2024 11:16
microsoft techniques down string embarrassing travel,"Featured snippet, Image pack",40,0,,,2,,0,,8,New,,,,https://www.breitbart.com/tech/2023/08/22/microsoft-removes-ai-assisted-travel-articles-containing-bizarre-and-offensive-recommendations/,,4/9/2024 18:22
john leguizamo italian,"Featured snippet, Thumbnail, People also ask, Image pack",30,2,,2,2,0,0,7,8,-1,,https://www.breitbart.com/entertainment/2022/11/02/hypocrisy-alert-john-leguizamo-whines-about-white-people-playing-latinos-fails-to-mention-his-roles-playing-italian-americans/,,https://www.breitbart.com/entertainment/2022/11/02/hypocrisy-alert-john-leguizamo-whines-about-white-people-playing-latinos-fails-to-mention-his-roles-playing-italian-americans/,12/27/2023 23:07,4/11/2024 18:24
bri teresi quits,Image pack,60,3,,1,2,1,0,12,7,5,,https://www.breitbart.com/entertainment/2023/04/22/model-bri-teresi-quits-lingerie-company-after-ad-with-non-binary-man/,Image pack,https://www.breitbart.com/entertainment/2023/04/22/model-bri-teresi-quits-lingerie-company-after-ad-with-non-binary-man/,1/16/2024 21:48,4/11/2024 5:23
yum yum spy,,20,8,,2,2,-1,0,2,4,-2,,https://www.breitbart.com/politics/2023/04/27/rep-troy-nehls-calls-out-swalwells-alleged-sexual-relationship-with-chinese-spy-yum-yum/,,https://www.breitbart.com/politics/2023/04/27/rep-troy-nehls-calls-out-swalwells-alleged-sexual-relationship-with-chinese-spy-yum-yum/,1/3/2024 20:44,4/7/2024 20:02
audrey yun powerlifting,"Thumbnail, Image pack",60,0,,,2,,0,,10,New,,,,https://www.breitbart.com/sports/2023/10/09/trans-strongman-competitor-taunts-female-opponents-about-pissing-next-them-upcoming-contest/,,4/20/2024 5:27
most expensive parker shotgun,"Featured snippet, Thumbnail, People also ask",30,1,,3,2,-1,0,4,8,-4,,https://www.breitbart.com/politics/2017/07/18/seven-of-the-most-expensive-guns-in-the-world/,,https://www.breitbart.com/politics/2017/07/18/seven-of-the-most-expensive-guns-in-the-world/,1/20/2024 22:01,4/16/2024 2:50
kadia iman xxx,,30,0,,,2,,0,,7,New,,,,https://www.breitbart.com/tag/onlyfans/,,3/30/2024 9:19
eiadii facebook,,20,0,0,3,2,-2,0,3,6,-3,,https://www.breitbart.com/border/2016/04/25/transgender-activists-wrath-falls-on-texas-photographer/,,https://www.breitbart.com/border/2016/04/25/transgender-activists-wrath-falls-on-texas-photographer/,1/22/2024 4:09,3/18/2024 14:36
the don t shirt,Thumbnail,40,0,,,2,,0,,8,New,,,,https://store.breitbart.com/products/the-don-t-shirt-black,,3/24/2024 9:30
el toro cartel leader,"Featured snippet, People also ask, Image pack",30,1,,,2,,0,,3,New,,,Image pack,https://www.breitbart.com/border/2015/11/15/monster-gulf-cartel-boss-comandante-toro-babys-blood-hands/,,4/11/2024 3:55
rochester man given 180 days in jail for raping girls,"Featured snippet, Thumbnail, Image pack",30,5,,,2,,0,,6,New,,,,https://www.breitbart.com/crime/2023/02/03/man-gets-180-days-jail-raping-girls-aged-between-four-nine-there-is-no-getting-over-it/,,4/6/2024 9:37
nude cross country,,30,0,,,2,,0,,7,New,,,,https://www.breitbart.com/sports/2015/10/16/the-naked-mile-cross-country-team-banned-from-meet-after-nude-escapade/,,3/30/2024 1:26
nathan dieffenderffer,"Image pack, Thumbnail",30,5,,,2,,0,,1,New,,,Image pack,https://www.breitbart.com/crime/2024/01/20/report-hundreds-of-newspapers-stolen-after-reporting-colorado-police-chiefs-stepsons-rape-allegations/,,4/6/2024 2:54
breitbart news mobile app,"Tweet box, Knowledge panel",20,1,0,2,2,0,0,9,9,,,https://www.breitbart.com/tag/mobile-app/,,https://www.breitbart.com/tag/mobile-app/,1/20/2024 3:56,3/16/2024 15:52
barack obama lsat score,"Featured snippet, People also ask, Image pack",40,0,,1,2,0,0,12,10,2,,https://www.breitbart.com/politics/2012/09/20/found-obama-s-lsat-score/,,https://www.breitbart.com/politics/2012/09/20/found-obama-s-lsat-score/,1/15/2024 10:06,4/10/2024 20:27
isaac alexander 30,Thumbnail,50,0,,,2,,0,,9,New,,,,https://www.breitbart.com/crime/2023/04/02/video-nyc-woman-beaten-raped-held-captive-bus-while-shackled-officials-say/,,4/12/2024 7:49
elliot page inception red carpet,"Image pack, People also ask, Thumbnail",20,2,,,2,,0,,1,New,,,Image pack,https://www.breitbart.com/entertainment/2021/04/30/elliot-page-i-collapsed-after-being-pressured-to-wear-dress-at-inception-premiere/,,4/16/2024 19:09
exclusive: senate staffer caught filming gay sex tape in senate hearing room (graphic),,30,19,,,2,,0,,6,New,,,,https://www.breitbart.com/politics/2023/12/15/graphic-video-senate-staffer-caught-filming-gay-sex-tape-in-senate-hearing-room/,,4/15/2024 1:13
school bans usa day,,20,1,,,2,,0,,5,New,,,,https://www.breitbart.com/education/2023/11/20/massachusetts-high-school-cancels-usa-day-claims-too-politicized/,,3/30/2024 1:01
berkeley neglected government disclose million deal,"Featured snippet, Image pack",30,1,,1,1,0,0,8,7,1,,https://www.breitbart.com/tech/2023/05/22/report-uc-berkeley-failed-to-disclose-240-million-deal-with-china/,,https://www.breitbart.com/tech/2023/05/22/report-uc-berkeley-failed-to-disclose-240-million-deal-with-china/,1/5/2024 1:09,4/16/2024 8:54
is kid rock a christian,,30,0,,,1,,0,,9,New,,,,https://www.breitbart.com/clips/2023/11/16/kid-rock-backs-off-bud-light-as-a-god-fearing-man-as-a-christian-i-have-to-believe-in-forgiveness/,,4/4/2024 10:43
sarah palin spank,People also ask,50,0,0,,1,,0,,10,New,,,,https://www.breitbart.com/politics/2014/11/04/sarah-palin-obama-should-be-spanked-for-denigrating-stay-at-home-moms/,,3/17/2024 6:28
john carney breitbart bio,"Tweet box, Knowledge panel, Image pack",40,5,,,1,,0,,9,New,,,,https://www.breitbart.com/author/john-carney/,,3/25/2024 15:14
day 12 new york post still locked out of twitter,"People also ask, Image pack",10,42,,4,1,-2,0,1,2,-1,,https://www.breitbart.com/tech/2020/10/26/day-12-new-york-post-still-locked-out-of-twitter/,,https://www.breitbart.com/tech/2020/10/26/day-12-new-york-post-still-locked-out-of-twitter/,1/16/2024 20:31,4/19/2024 17:57
irina shayk jeffrey epstein,Thumbnail,40,3,,,1,,0,,8,New,,,,https://www.breitbart.com/entertainment/2023/05/30/newly-released-jeffrey-epstein-documents-show-connections-to-more-celebrities-irina-shayk-david-blaine-tommy-mottola/,,4/21/2024 6:46
windows 11 pride flag,"People also ask, Thumbnail, Image pack",40,0,,,1,,0,,8,New,,,,https://www.breitbart.com/tech/2023/06/05/explainer-how-to-remove-the-pride-flag-microsoft-added-to-the-windows-11-taskbar/,,4/16/2024 13:51
michal huck,"Top stories, Thumbnail, Image pack",80,0,,,1,,0,,2,New,,,Image pack,https://www.breitbart.com/crime/2023/11/29/lawsuits-ohio-high-school-cheerleading-coach-and-wrestling-coach-husband-sexually-abused-teens/,,4/14/2024 21:32
disney stars that do porn,"Featured snippet, People also ask",40,3,,,1,,0,,10,New,,,,https://www.breitbart.com/entertainment/2023/06/29/dan-benson-i-feel-like-a-badass-going-from-disney-star-to-porn-star/,,4/12/2024 2:52
gary pilnick kellogg net worth,,60,2,,,1,,0,,10,New,,,,https://www.breitbart.com/politics/2024/03/01/kelloggs-ceo-suggests-cash-strapped-families-suffering-under-inflation-eat-cereal-for-dinner/,,4/14/2024 8:09
berkeley neglected government disclose million with,"People also ask, Image pack",20,0,,,1,,0,,6,New,,,,https://www.breitbart.com/tech/2023/05/22/report-uc-berkeley-failed-to-disclose-240-million-deal-with-china/,,4/12/2024 1:52
sargent tamarisi,,20,0,0,0,1,1,0,18,6,12,,https://www.breitbart.com/politics/2016/06/12/donald-trump-going-country-unified-jobs/,,https://www.breitbart.com/politics/2016/06/12/donald-trump-going-country-unified-jobs/,1/13/2024 2:34,3/11/2024 6:35
dilbert alma mater,"Featured snippet, Image pack, People also ask",20,30,0,0,1,1,0,17,6,11,,https://www.breitbart.com/social-justice/2017/02/06/dilbert-creator-scott-adams-stop-donating-alma-mater-uc-berkeley/,,https://www.breitbart.com/social-justice/2017/02/06/dilbert-creator-scott-adams-stop-donating-alma-mater-uc-berkeley/,1/17/2024 23:16,3/15/2024 15:55
hannah britton car accident,Image pack,20,0,,,1,,0,,6,New,,,,https://www.breitbart.com/politics/2024/03/29/mexican-migrant-gets-10-years-in-prison-for-killing-22-year-old-broc-stoddard/,,4/6/2024 5:37
heather graham boob,,30,0,,,1,,0,,9,New,,,,https://www.breitbart.com/politics/2022/11/07/watch-actress-heather-graham-shakes-her-boobs-in-i-will-aid-and-abet-abortion-shirt-in-election-eve-push-for-wisconsin-democrats/,,4/7/2024 18:40
eddie gallagher tattoo,,20,0,,,1,,0,,7,New,,,,https://www.breitbart.com/politics/2019/07/04/navy-seal-eddie-gallagher-gets-tattoo-celebrating-acquittal/,,3/31/2024 8:03
apple airtags triggered explosion reports nationwide,"Featured snippet, People also ask, Image pack",60,0,,,1,,0,,10,New,,,,https://www.breitbart.com/tech/2023/10/13/lawsuit-apple-airtags-have-caused-a-nationwide-surge-in-stalking-incidents/,,4/22/2024 13:31
jemmaisokeh,Thumbnail,60,12,,,1,,0,,10,New,,,,https://www.breitbart.com/education/2023/10/21/transgender-university-of-california-davis-professor-threatens-zionist-journalists-and-children/,,4/13/2024 2:23
why was neal mcdonough blackballed,"Featured snippet, People also ask, Image pack",20,0,,,1,,0,,5,New,,,,https://www.breitbart.com/entertainment/2023/11/29/yellowstone-actor-neal-mcdonough-says-he-was-blacklisted-for-two-years-in-hollywood-for-his-religious-beliefs/,,4/13/2024 20:29
taylor swift ai nude photos chiefs,,20,17,,,1,,0,,5,New,,,,https://www.breitbart.com/entertainment/2024/01/25/fans-outraged-over-ai-generated-sexually-graphic-taylor-swift-images/,,3/28/2024 16:56
melania trump ralph lauren jumper,"Image pack, Thumbnail, People also ask",10,7,0,2,1,0,0,1,1,,Image pack,https://www.breitbart.com/entertainment/2018/08/19/fashion-notes-melania-trump-ralph-lauren-sweater/,Image pack,https://www.breitbart.com/entertainment/2018/08/19/fashion-notes-melania-trump-ralph-lauren-sweater/,1/12/2024 8:01,3/11/2024 1:37
nancy mace swim suit,,60,4,,,1,,0,,10,New,,,,https://www.breitbart.com/sports/2023/05/17/riley-gaines-rep-nancy-mace-blast-adidas-for-womens-swim-suit-ad-campaign-featuring-male-model/,,4/20/2024 17:11
ariana debose ass,People also ask,20,3,,,1,,0,,7,New,,,,https://www.breitbart.com/entertainment/2022/07/01/west-side-story-star-ariana-debose-attacks-rotten-ass-supreme-court-my-country-is-at-war-with-me/,,4/13/2024 9:22
traffic cone titties,People also ask,20,0,,1,1,1,0,11,6,5,,https://www.breitbart.com/politics/2014/04/14/new-video-features-al-franken-playing-with-his-traffic-cone-boobs/,,https://www.breitbart.com/politics/2014/04/14/new-video-features-al-franken-playing-with-his-traffic-cone-boobs/,1/5/2024 10:50,4/11/2024 11:39
neil degrasse tyson is an idiot,People also ask,30,8,,,1,,0,,9,New,,,,https://www.breitbart.com/tech/2015/12/21/scientists-who-are-actually-really-stupid-1-neil-degrasse-tyson/,,4/19/2024 12:32
ada twist scientist gay wedding,People also ask,40,2,,,1,,0,,8,New,,,,https://www.breitbart.com/entertainment/2023/12/24/obama-produced-netflix-cartoon-ada-twist-scientist-shows-children-planning-and-attending-gay-wedding/,,4/4/2024 12:29
taylor greene brother,"People also ask, Image pack",40,0,,,1,,0,,8,New,,,,https://www.breitbart.com/entertainment/2023/06/14/southern-charm-star-taylor-ann-greens-brother-worth-dead-36/,,4/20/2024 16:58
is universal woke,"People also ask, Thumbnail, Image pack",30,0,,0,1,1,0,18,7,11,,https://www.breitbart.com/entertainment/2022/12/15/universal-studios-theme-parks-films-flourish-as-woke-scandals-destroy-disney-brand/,,https://www.breitbart.com/entertainment/2022/12/15/universal-studios-theme-parks-films-flourish-as-woke-scandals-destroy-disney-brand/,12/27/2023 15:54,4/21/2024 3:29
tv age 44,"People also ask, Image pack",20,16,,,1,,0,,6,New,,,,https://www.breitbart.com/entertainment/2014/09/06/average-tv-viewer-age-jumps/,,4/13/2024 2:28
el toro reynosa,"Image pack, People also ask, Thumbnail, Knowledge panel",20,0,,,1,,0,,7,New,,,,https://www.breitbart.com/border/2017/04/22/graphic-leaked-images-show-dead-gulf-cartel-boss-comandante-toro/,,3/29/2024 11:17
jeramy decristo,"Thumbnail, Image pack",20,0,,,1,,0,,7,New,,,,https://www.breitbart.com/education/2023/10/21/transgender-university-of-california-davis-professor-threatens-zionist-journalists-and-children/,,4/21/2024 19:28
matt taibbi andrew breitbart,,10,8,0,2,1,0,0,4,7,-3,,https://www.breitbart.com/tag/matt-taibbi/,,https://www.breitbart.com/tag/matt-taibbi/,1/9/2024 1:50,3/6/2024 15:04
hk woke tweet,Tweet box,30,0,,2,1,-1,0,5,8,-3,,https://www.breitbart.com/2nd-amendment/2023/05/17/gunmaker-heckler-koch-deletes-woke-tweets-after-backlash/,,https://www.breitbart.com/2nd-amendment/2023/05/17/gunmaker-heckler-koch-deletes-woke-tweets-after-backlash/,1/4/2024 4:45,3/25/2024 22:39
dax shepard political views,"People also ask, Image pack",30,1,,2,1,-1,0,6,9,-3,,https://www.breitbart.com/entertainment/2023/09/27/actor-dax-shepard-says-its-insane-that-joe-biden-is-the-countrys-best-option-its-so-embarrassing/,,https://www.breitbart.com/entertainment/2023/09/27/actor-dax-shepard-says-its-insane-that-joe-biden-is-the-countrys-best-option-its-so-embarrassing/,12/28/2023 3:33,4/21/2024 13:34
entertainment.newsburrow.com new release,Image pack,30,62,,,1,,0,,7,New,,,,https://www.breitbart.com/entertainment/,,4/13/2024 7:36
who is andrew breitbart's wife?,Knowledge panel,40,8,,,1,,0,,9,New,,,,https://www.breitbart.com/politics/2017/06/10/susie-breitbart-gives-rare-interview-andrew-was-good-friend-to-so-many-people-who-disagreed-with-him/,,3/29/2024 7:34
is jeffrey wright gay,,30,0,,,1,,0,,8,New,,,,https://www.breitbart.com/entertainment/2021/06/18/billy-porter-straight-black-man-jeffrey-wright-playing-gay-character-in-angels-in-america-is-how-hollywood-marginalized-queer-people/,,3/30/2024 2:37
taylor swift ai nude cheifs,,20,4,,,1,,0,,6,New,,,,https://www.breitbart.com/entertainment/2024/01/25/fans-outraged-over-ai-generated-sexually-graphic-taylor-swift-images/,,4/8/2024 3:34
san francisco electric bus crash,"People also ask, Image pack",30,10,,,1,,0,,8,New,,,,https://www.breitbart.com/tech/2023/11/07/100-electric-google-bus-loses-power-smashes-into-multiple-cars-on-san-francisco-street/,,3/29/2024 0:09
brett leary st louis,Image pack,30,0,,,1,,0,,8,New,,,,https://www.breitbart.com/local/2023/12/31/leader-missouri-veteran-program-allegedly-stole-36k-pay-debts/,,4/9/2024 22:48
apple faces khosla goliath goliath tech,"People also ask, Image pack",50,2,,,1,,0,,10,New,,,,https://www.breitbart.com/tech/2023/05/25/goliath-vs-goliath-venture-capital-titan-vinod-khosla-takes-on-apple-alleging-theft-of-health-tech/,,4/5/2024 13:16
woman has sex with german shepherd,,30,5,,,1,,0,,9,New,,,,https://www.breitbart.com/crime/2023/04/08/mississippi-woman-accused-of-unnatural-intercourse-with-german-shepherd/,,4/6/2024 6:53
